,image,label
4618,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04619.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04619.tif
4619,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04620.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04620.tif
4620,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04621.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04621.tif
4621,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04622.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04622.tif
4622,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04623.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04623.tif
4623,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04624.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04624.tif
4624,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04625.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04625.tif
4625,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04626.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04626.tif
4626,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04627.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04627.tif
4627,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04628.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04628.tif
4628,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04629.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04629.tif
4629,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04630.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04630.tif
4630,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04631.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04631.tif
4631,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04632.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04632.tif
4632,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04633.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04633.tif
4633,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04634.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04634.tif
4634,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04635.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04635.tif
4635,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04636.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04636.tif
4636,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04637.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04637.tif
4637,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04638.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04638.tif
4638,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04639.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04639.tif
4639,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04640.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04640.tif
4640,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04641.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04641.tif
4641,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04642.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04642.tif
4642,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04643.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04643.tif
4643,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04644.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04644.tif
4644,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04645.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04645.tif
4645,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04646.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04646.tif
4646,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04647.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04647.tif
4647,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04648.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04648.tif
4648,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04649.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04649.tif
4649,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04650.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04650.tif
4650,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04651.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04651.tif
4651,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04652.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04652.tif
4652,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04653.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04653.tif
4653,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04654.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04654.tif
4654,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04655.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04655.tif
4655,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04656.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04656.tif
4656,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04657.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04657.tif
4657,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04658.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04658.tif
4658,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04659.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04659.tif
4659,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04660.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04660.tif
4660,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04661.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04661.tif
4661,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04662.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04662.tif
4662,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04663.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04663.tif
4663,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04664.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04664.tif
4664,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04665.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04665.tif
4665,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04666.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04666.tif
4666,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04667.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04667.tif
4667,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04668.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04668.tif
4668,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04669.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04669.tif
4669,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04670.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04670.tif
4670,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04671.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04671.tif
4671,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04672.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04672.tif
4672,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04673.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04673.tif
4673,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04674.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04674.tif
4674,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04675.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04675.tif
4675,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04676.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04676.tif
4676,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04677.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04677.tif
4677,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04678.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04678.tif
4678,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04679.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04679.tif
4679,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04680.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04680.tif
4680,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04681.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04681.tif
4681,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04682.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04682.tif
4682,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04683.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04683.tif
4683,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04684.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04684.tif
4684,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04685.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04685.tif
4685,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04686.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04686.tif
4686,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04687.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04687.tif
4687,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04688.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04688.tif
4688,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04689.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04689.tif
4689,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04690.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04690.tif
4690,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04691.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04691.tif
4691,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04692.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04692.tif
4692,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04693.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04693.tif
4693,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04694.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04694.tif
4694,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04695.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04695.tif
4695,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04696.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04696.tif
4696,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04697.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04697.tif
4697,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04698.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04698.tif
4698,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04699.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04699.tif
4699,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04700.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04700.tif
4700,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04701.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04701.tif
4701,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04702.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04702.tif
4702,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04703.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04703.tif
4703,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04704.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04704.tif
4704,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04705.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04705.tif
4705,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04706.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04706.tif
4706,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04707.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04707.tif
4707,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04708.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04708.tif
4708,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04709.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04709.tif
4709,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04710.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04710.tif
4710,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04711.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04711.tif
4711,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04712.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04712.tif
4712,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04713.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04713.tif
4713,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04714.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04714.tif
4714,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04715.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04715.tif
4715,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04716.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04716.tif
4716,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04717.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04717.tif
4717,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04718.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04718.tif
4718,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04719.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04719.tif
4719,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04720.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04720.tif
4720,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04721.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04721.tif
4721,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04722.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04722.tif
4722,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04723.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04723.tif
4723,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04724.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04724.tif
4724,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04725.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04725.tif
4725,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04726.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04726.tif
4726,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04727.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04727.tif
4727,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04728.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04728.tif
4728,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04729.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04729.tif
4729,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04730.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04730.tif
4730,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04731.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04731.tif
4731,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04732.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04732.tif
4732,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04733.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04733.tif
4733,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04734.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04734.tif
4734,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04735.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04735.tif
4735,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04736.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04736.tif
4736,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04737.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04737.tif
4737,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04738.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04738.tif
4738,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04739.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04739.tif
4739,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04740.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04740.tif
4740,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04741.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04741.tif
4741,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04742.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04742.tif
4742,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04743.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04743.tif
4743,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04744.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04744.tif
4744,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04745.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04745.tif
4745,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04746.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04746.tif
4746,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04747.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04747.tif
4747,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04748.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04748.tif
4748,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04749.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04749.tif
4749,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04750.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04750.tif
4750,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04751.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04751.tif
4751,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04752.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04752.tif
4752,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04753.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04753.tif
4753,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04754.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04754.tif
4754,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04755.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04755.tif
4755,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04756.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04756.tif
4756,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04757.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04757.tif
4757,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04758.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04758.tif
4758,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04759.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04759.tif
4759,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04760.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04760.tif
4760,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04761.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04761.tif
4761,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04762.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04762.tif
4762,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04763.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04763.tif
4763,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04764.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04764.tif
4764,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04765.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04765.tif
4765,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04766.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04766.tif
4766,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04767.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04767.tif
4767,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04768.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04768.tif
4768,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04769.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04769.tif
4769,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04770.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04770.tif
4770,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04771.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04771.tif
4771,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04772.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04772.tif
4772,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04773.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04773.tif
4773,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04774.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04774.tif
4774,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04775.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04775.tif
4775,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04776.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04776.tif
4776,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04777.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04777.tif
4777,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04778.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04778.tif
4778,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04779.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04779.tif
4779,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04780.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04780.tif
4780,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04781.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04781.tif
4781,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04782.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04782.tif
4782,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04783.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04783.tif
4783,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04784.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04784.tif
4784,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04785.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04785.tif
4785,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04786.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04786.tif
4786,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04787.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04787.tif
4787,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04788.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04788.tif
4788,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04789.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04789.tif
4789,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04790.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04790.tif
4790,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04791.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04791.tif
4791,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04792.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04792.tif
4792,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04793.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04793.tif
4793,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04794.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04794.tif
4794,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04795.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04795.tif
4795,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04796.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04796.tif
4796,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04797.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04797.tif
4797,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04798.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04798.tif
4798,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04799.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04799.tif
4799,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04800.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04800.tif
4800,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04801.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04801.tif
4801,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04802.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04802.tif
4802,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04803.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04803.tif
4803,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04804.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04804.tif
4804,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04805.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04805.tif
4805,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04806.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04806.tif
4806,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04807.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04807.tif
4807,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04808.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04808.tif
4808,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04809.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04809.tif
4809,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04810.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04810.tif
4810,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04811.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04811.tif
4811,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04812.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04812.tif
4812,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04813.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04813.tif
4813,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04814.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04814.tif
4814,F:/ISPRS/Creat Datasets/experimental dataset/train/top/04815.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/04815.tif
